"","Question","id","LLM_Answer","Human_Answer","Correct_Answer","Same_Answer","Neither_Correct"
"1","Q1",3,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"2","Q1",5,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"3","Q1",8,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"4","Q1",10,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"5","Q1",12,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"6","Q1",14,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"7","Q1",19,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"8","Q1",27,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"9","Q1",34,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"10","Q1",40,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"11","Q1",43,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"12","Q2",0,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"13","Q2",1,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"14","Q2",2,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"15","Q2",3,"Least Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"16","Q2",4,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"17","Q2",6,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"18","Q2",8,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"19","Q2",9,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"20","Q2",10,"Parakeet Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,TRUE
"21","Q2",12,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"22","Q2",13,"Crested Auklet","Least Auklet","Crested Auklet",FALSE,FALSE
"23","Q2",14,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"24","Q2",16,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"25","Q2",17,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"26","Q2",18,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"27","Q2",20,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"28","Q2",21,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"29","Q2",22,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"30","Q2",24,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"31","Q2",25,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"32","Q2",26,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"33","Q2",28,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"34","Q2",29,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"35","Q2",30,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"36","Q2",31,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"37","Q2",32,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"38","Q2",33,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"39","Q2",34,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"40","Q2",35,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"41","Q2",36,"Parakeet Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"42","Q2",37,"Crested Auklet","Least Auklet","Crested Auklet",FALSE,FALSE
"43","Q2",39,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"44","Q2",40,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
