id,Description,Problem,Notes
0,"Body parts","Incomplete","least: missing head"
1,"Details","Incomplete","least: missing head"
2,"Body parts","Vague","least: missing chest"
3,"Body parts","Incomplete/Misleading","least: missing head, crested: neck instead of head?"
4,"Body parts","Incomplete","least: missing head"
5,"Body parts","Vague","general: 2 classes with same description, least: missing head"
6,"Details","Irrelevant/Incomplete","least: missing head, parakeet: missing chest, crested: crest not highlighted"
7,"Details",Irrelevant/Incomplete","crested: crest not highlighted, parakeet: missing chest"
8,"Details","Incomplete","least: missing head"
9,"Details","Incomplete","least: missing head, crested: crest not highlighted"
10,"Body parts","None",""
11,"Details","Irrelevant/Incomplete","least: missing head, crested: head missing, crested: body not highlighted"
12,"Details","Irrelevant/Incomplete","parakeet: missing chest, parakeet: wing not highlighted, crested: crest not highlighted"
13,"Body parts","Incomplete","parakeet: missing chest"
14,"Body parts","Irrelevant","crested: body not highlighted"
15,"Details","Irrelevant/Incomplete","least: back not highlighted, parakeet: missing chest, crested: crest not highlighted"
16,"Details","Irrelevant","crested: crest not highlighted"
17,"Details","Incomplete","least: missing head, parakeet: missing chest"
18,"Details","Incomplete","least: missing head"
19,"Details","Incomplete","least: missing head"
20,"Details","None",""
21,"Details","Irrelevant/Incomplete","crested: crest not highlighted"
22,"Details","Irrelevant/Incomplete/Vague","crested: crest not highlighted, least: missing head, least: missing chest, parakeet: missing chest"
23,"Details","Irrelevant/Incomplete","crested: crest not highlighted, parakeet: missing head"
24,"Details","Irrelevant/Incomplete","crested: crest not highlighted"
25,"Details","Irrelevant","least: wings not highlighted, parakeet: wings not highlighted, crested: crest not highlighted, crested: body not highlighted"
26,"Body parts","Incomplete","least: missing head, parakeet: missing chest"
27,"Body parts","Incomplete","parakeet: missing chest"
28,"Body parts","None",""
29,"Details","Irrelevant","crested: crest not highlighted"
30,"Details","Incomplete","least: missing head"
31,"Body parts","Incomplete","parakeet: missing head"
32,"Details","Irrelevant","crested: crest not highlighted"
33,"Details","Irrelevant","crested: crest not highlighted"
34,"Body parts","Incomplete","least: missing head"
35,"Body parts","Incomplete","least: missing head"
36,"Body parts","Incomplete","least: missing head"
37,"Details","Incomplete/Irrelevant","least: missing head, crested: crest not highlighted"
38,"Details","Incomplete/Irrelevant","least: missing head, crested: crest not highlighted"
39,"Details","Incomplete/Irrelevant","least: missing head, crested: crest not highlighted"
40,"Body parts","Incomplete","least: missing head, least: missing chest"
41,"Body parts","Incomplete","least: missing head"
42,"Details","Irrelevant","crested: body not highlighted, crested: crest not highlighted"
43,"Body parts","None",""
44,"Body parts","Incomplete","least: missing head"
45,"Details","Irrelevant","crested: body not highlighted"
46,"Body parts","Incomplete/Irrelevant","parakeet: missing chest, parakeet: back not highlighted"
47,"Body parts","Irrelevant","crested: body not highlighted"
48,"Details","Irrelevant","crested: crest not highlighted"
49,"Details","Incomplete/Irrelevant","least: missing head, crested: crest not highlighted"
