"id","LLM_Q1","LLM_Q2","LLM_Q3","LLM_Q4","LLM_Q5","LLM_Q6","LLM_Q7","LLM_Q8","LLM_Q9","LLM_Q10","LLM_Q11","LLM_Q12","LLM_Q13","LLM_Q14","LLM_Q15","LLM_Q16","LLM_Q17","LLM_Q18","LLM_Q19","LLM_Q20"
0,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet"
1,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet"
2,"Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
3,"Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Least Auklet","Rhinoceros Auklet","Least Auklet"
4,"Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet"
5,"Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet"
6,"Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Least Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
7,"Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet"
8,"Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
9,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Least Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
