id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
0,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
